Approved symbol	Mouse genome database ID
RNU6-1253P	
RNU6-1254P	
RNU6-1255P	
RNU6-1256P	
RNU6-1257P	
RNU6-1258P	
RNU6-1259P	
RNU6-1260P	
RNU6-1261P	
RNU6-1262P	
RNU6-1263P	
RNU6-1264P	
RNU6-1265P	
RNU6-1266P	
RNU6-1267P	
RNU6-1268P	
RNU6-1269P	
RNU6-1270P	
RNU6-1271P	
RNU6-1272P	
RNU6-1273P	
RNU6-1274P	
RNU6-1275P	
RNU6-1276P	
RNU6-1277P	
RNU6-1278P	
RNU6-1279P	
RNU6-1280P	
RNU6-1281P	
RNU6-1282P	
RNU6-1283P	
RNU6-1284P	
RNU6-1285P	
RNU6-1286P	
RNU6-1287P	
RNU6-1288P	
RNU6-1289P	
RNU6-1290P	
RNU6-1291P	
RNU6-1292P	
RNU6-1293P	
RNU6-1294P	
RNU6-1295P	
RNU6-1296P	
RNU6-1297P	
RNU6-1298P	
RNU6-1299P	
RNU6-1300P	
RNU6-1301P	
RNU6-1302P	
RNU6-1303P	
RNU6-1304P	
RNU6-1305P	
RNU6-1306P	
RNU6-1307P	
RNU6-1308P	
RNU6-1309P	
RNU6-1310P	
RNU6-1311P	
RNU6-1312P	
RNU6-1313P	
RNU6-1314P	
RNU6-1315P	
RNU6-1316P	
RNU6-1317P	
RNU6-1318P	
RNU6-1319P	
RNU6-1320P	
RNU6-1321P	
RNU6-1322P	
RNU6-1323P	
RNU6-1324P	
RNU6-1325P	
RNU6-1326P	
RNU6-1327P	
RNU6-1328P	
RNU6-1329P	
RNU6-1330P	
RNU6-1331P	
RNU6-1332P	
RNU6-1333P	
RNU6-1334P	
RNU6-1335P	
RNU6-1336P	
RNU6-1337P	
RNU6-1338P	
RNU6-1339P	
RNU6-1340P	
RNU6-1341P	
RNU6-1342P	
RNU6ATAC	
RNU6ATAC2P	
RNU6ATAC3P	
RNU6ATAC4P	
RNU6ATAC5P	
RNU6ATAC6P	
RNU6ATAC7P	
RNU6ATAC8P	
RNU6ATAC9P	
RNU6ATAC10P	
RNU6ATAC11P	
RNU6ATAC12P	
RNU6ATAC13P	
RNU6ATAC14P	
RNU6ATAC15P	
RNU6ATAC16P	
RNU6ATAC17P	
RNU6ATAC18P	
RNU6ATAC19P	
RNU6ATAC20P	
RNU6ATAC21P	
RNU6ATAC22P	
RNU6ATAC23P	
RNU6ATAC24P	
RNU6ATAC25P	
RNU6ATAC26P	
RNU6ATAC27P	
RNU6ATAC28P	
RNU6ATAC29P	
RNU6ATAC30P	
RNU6ATAC31P	
RNU6ATAC32P	
RNU6ATAC33P	
RNU6ATAC34P	
RNU6ATAC35P	
RNU6ATAC36P	
RNU6ATAC37P	
RNU6ATAC38P	
RNU6ATAC39P	
RNU6ATAC40P	
RNU6ATAC41P	
RNU6ATAC42P	
RNU6V	
RNU7-1	
RNU7-2P	
RNU7-3P	
RNU7-4P	
RNU7-5P	
RNU7-6P	
RNU7-7P	
RNU7-8P	
RNU7-9P	
RNU7-10P	
RNU7-11P	
RNU7-12P	
RNU7-13P	
RNU7-14P	
RNU7-15P	
RNU7-16P	
RNU7-17P	
RNU7-18P	
RNU7-19P	
RNU7-20P	
RNU7-21P	
RNU7-22P	
RNU7-23P	
RNU7-24P	
RNU7-25P	
RNU7-26P	
RNU7-27P	
RNU7-28P	
RNU7-29P	
RNU7-30P	
RNU7-31P	
RNU7-32P	
RNU7-33P	
RNU7-34P	
RNU7-35P	
RNU7-36P	
RNU7-37P	
RNU7-38P	
RNU7-39P	
RNU7-40P	
RNU7-41P	
RNU7-42P	
RNU7-43P	
RNU7-44P	
RNU7-45P	
RNU7-46P	
RNU7-47P	
RNU7-48P	
RNU7-49P	
RNU7-50P	
RNU7-51P	
RNU7-52P	
RNU7-53P	
RNU7-54P	
RNU7-55P	
RNU7-56P	
RNU7-57P	
RNU7-58P	
RNU7-59P	
RNU7-60P	
RNU7-61P	
RNU7-62P	
RNU7-63P	
RNU7-64P	
RNU7-65P	
RNU7-66P	
RNU7-67P	
RNU7-68P	
RNU7-69P	
RNU7-70P	
RNU7-71P	
RNU7-72P	
RNU7-73P	
RNU7-74P	
RNU7-75P	
RNU7-76P	
RNU7-77P	
RNU7-78P	
RNU7-79P	
RNU7-80P	
RNU7-81P	
RNU7-82P	
RNU7-83P	
RNU7-84P	
RNU7-85P	
RNU7-86P	
RNU7-87P	
RNU7-88P	
RNU7-89P	
RNU7-90P	
RNU7-91P	
RNU7-92P	
RNU7-93P	
RNU7-94P	
RNU7-95P	
RNU7-96P	
RNU7-97P	
RNU7-98P	
RNU7-99P	
RNU7-100P	
RNU7-101P	
RNU7-102P	
RNU7-103P	
RNU7-104P	
RNU7-105P	
RNU7-106P	
RNU7-107P	
RNU7-108P	
RNU7-109P	
RNU7-110P	
RNU7-111P	
RNU7-112P	
RNU7-113P	
RNU7-114P	
RNU7-115P	
RNU7-116P	
RNU7-117P	
RNU7-118P	
RNU7-119P	
RNU7-120P	
RNU7-121P	
RNU7-122P	
RNU7-123P	
RNU7-124P	
RNU7-125P	
RNU7-126P	
RNU7-127P	
RNU7-128P	
RNU7-129P	
RNU7-130P	
RNU7-131P	
RNU7-132P	
RNU7-133P	
RNU7-134P	
RNU7-135P	
RNU7-136P	
RNU7-137P	
RNU7-138P	
RNU7-139P	
RNU7-140P	
RNU7-141P	
RNU7-142P	
RNU7-143P	
RNU7-144P	
RNU7-145P	
RNU7-146P	
RNU7-147P	
RNU7-148P	
RNU7-149P	
RNU7-150P	
RNU7-151P	
RNU7-152P	
RNU7-153P	
RNU7-154P	
RNU7-155P	
RNU7-156P	
RNU7-157P	
RNU7-158P	
RNU7-159P	
RNU7-160P	
RNU7-161P	
RNU7-162P	
RNU7-163P	
RNU7-164P	
RNU7-165P	
RNU7-166P	
RNU7-167P	
RNU7-168P	
RNU7-169P	
RNU7-170P	
RNU7-171P	
RNU7-172P	
RNU7-173P	
RNU7-174P	
RNU7-175P	
RNU7-176P	
RNU7-177P	
RNU7-178P	
RNU7-179P	
RNU7-180P	
RNU7-181P	
RNU7-182P	
RNU7-183P	
RNU7-184P	
RNU7-185P	
RNU7-186P	
RNU7-187P	
RNU7-188P	
RNU7-189P	
RNU7-190P	
RNU7-191P	
RNU7-192P	
RNU7-193P	
RNU7-194P	
RNU7-195P	
RNU7-196P	
RNU7-197P	
RNU7-198P	
RNU7-199P	
RNU7-200P	
RNU7P3	
RNU11	MGI:2148804
RNU11-2P	
RNU11-3P	
RNU11-4P	
RNU11-5P	
RNU11-6P	
RNU12	
RNU12-2P	
RNU17C	
RNU40	
RNU86	
RNU105A	
RNU105B	
RNU105C	
RNVU1-1	
RNVU1-2	
RNVU1-2A	
RNVU1-3	
RNVU1-4	
RNVU1-5	
RNVU1-6	
RNVU1-7	
RNVU1-8	
RNVU1-9	
RNVU1-10	
RNVU1-11	
RNVU1-12	
RNVU1-13	
RNVU1-14	
RNVU1-15	
RNVU1-16	
RNVU1-17	
RNVU1-18	
RNVU1-19	
RNVU1-20	
RNVU1-21	
RNVU1-22	
RNVU1-23	
RNVU1-24	
RNVU1-25	
RNVU1-26	
RNVU1-27	
RNVU1-28	
RNVU1-29	
RNVU1-30	
RNVU1-31	
RNVU1-32	
RNVU1-33	
RNVU1-34	
RNY1	MGI:97995
RNY1P1	
RNY1P2	
RNY1P3	
RNY1P4	
RNY1P5	
RNY1P6	
RNY1P7	
RNY1P8	
RNY1P9	
RNY1P10	
RNY1P11	
RNY1P12	
RNY1P13	
RNY1P14	
RNY1P15	
RNY1P16	
RNY3	
RNY3P1	
RNY3P2	
RNY3P3	
RNY3P4	
RNY3P5	
RNY3P6	
RNY3P7	
RNY3P8	
RNY3P9	
RNY3P10	
RNY3P11	
RNY3P12	
RNY3P13	
RNY3P14	
RNY3P15	
RNY3P16	
RNY4	
RNY4P1	
RNY4P2	
RNY4P3	
RNY4P4	
RNY4P5	
RNY4P6	
RNY4P7	
RNY4P8	
RNY4P9	
RNY4P10	
RNY4P11	
RNY4P12	
RNY4P13	
RNY4P14	
RNY4P15	
RNY4P16	
RNY4P17	
RNY4P18	
RNY4P19	
RNY4P20	
RNY4P21	
RNY4P22	
RNY4P23	
RNY4P24	
RNY4P25	
RNY4P26	
RNY4P27	
RNY4P28	
RNY4P29	
RNY4P30	
RNY4P31	
RNY4P32	
RNY4P33	
RNY4P34	
RNY4P35	
RNY4P36	
RNY4P37	
RNY5	
RNY5P1	
RNY5P2	
RNY5P3	
RNY5P4	
RNY5P5	
RNY5P6	
RNY5P7	
RNY5P8	
RNY5P9	
RNY5P10	
RO60	MGI:106652
ROBO1	MGI:1274781
ROBO2	MGI:1890110
ROBO2P1	
ROBO3	MGI:1343102
ROBO4	MGI:1921394
ROCK1	MGI:107927
ROCK1P1	
ROCK2	MGI:107926
ROCR	
ROGDI	MGI:1913299
ROM1	MGI:97998
ROMO1	MGI:1914317
RONU	
ROPN1	MGI:1923628
ROPN1B	
ROPN1L	MGI:2182357
ROPN1L-AS1	
ROR1	MGI:1347520
ROR1-AS1	
ROR2	MGI:1347521
RORA	MGI:104661
RORA-AS1	
RORA-AS2	
RORB	MGI:1343464
RORB-AS1	
RORC	MGI:104856
ROS1	MGI:97999
RP	
RP1	MGI:1341105
RP1L1	MGI:2384303
RP2	MGI:1277953
RP3	
RP4	
RP5	
RP6	
RP7	
RP9	MGI:2157166
RP9P	
RP10	
RP11	
RP12	
RP13	
RP14	
RP15	
RP16	
RP17	
RP18	
RP19	
RP20	
RP21	
RP22	
RP23	
RP24	
RP25	
RP26	
RP28	
RP29	
RP31	
RP32	
RP33	
RP34	
RP35	
RP52	
RP63	
RP66	
RPA1	MGI:1915525
RPA2	MGI:1339939
RPA2P1	
RPA2P2	
RPA2P3	
RPA3	MGI:1915490
RPA3P1	
RPA3P2	
RPA4	
RPAIN	MGI:1916973
RPAP1	MGI:1916175
RPAP2	MGI:2141142
RPAP2P1	
RPAP3	MGI:1277218
RPAP3-DT	
RPD3L1	
RPE	MGI:1913896
RPE65	MGI:98001
RPEL1	
RPEP1	
RPEP2	
RPEP3	
RPEP4	
RPEP5	
RPEP6	
RPF1	MGI:1917535
RPF2	MGI:1914489
RPF2P1	
RPF2P2	
RPGR	MGI:1344037
RPGRIP1	MGI:1932134
RPGRIP1L	MGI:1920563
RPH3A	MGI:102788
RPH3AL	MGI:1923492
RPH3AL-AS1	
RPH3AL-AS2	
RPIA	MGI:103254
RPIAP1	
RPL3	MGI:1351605
RPL3L	MGI:1913461
RPL3P1	
RPL3P2	
RPL3P3	
RPL3P4	
RPL3P5	
RPL3P6	
RPL3P7	
RPL3P8	
RPL3P9	
RPL3P10	
RPL3P11	
RPL3P12	
RPL3P13	
RPL4	MGI:1915141
RPL4P1	
RPL4P2	
RPL4P3	
RPL4P4	
RPL4P5	
RPL4P6	
RPL4P7	
RPL5	MGI:102854
RPL5P1	
RPL5P2	
RPL5P3	
RPL5P4	
RPL5P5	
RPL5P6	
RPL5P7	
RPL5P8	
RPL5P9	
RPL5P10	
RPL5P11	
RPL5P12	
RPL5P13	
RPL5P14	
RPL5P15	
RPL5P16	
RPL5P17	
RPL5P18	
RPL5P19	
RPL5P20	
RPL5P21	
RPL5P22	
RPL5P23	
RPL5P24	
RPL5P25	
RPL5P26	
RPL5P27	
RPL5P28	
RPL5P29	
RPL5P30	
RPL5P31	
RPL5P32	
RPL5P33	
RPL5P34	
RPL5P35	
RPL6	MGI:108057
RPL6P1	
RPL6P2	
RPL6P3	
RPL6P4	
RPL6P5	
RPL6P6	
RPL6P7	
RPL6P8	
RPL6P9	
RPL6P10	
RPL6P11	
RPL6P12	
RPL6P13	
RPL6P14	
RPL6P15	
RPL6P16	
RPL6P17	
RPL6P18	
RPL6P19	
RPL6P20	
RPL6P21	
RPL6P22	
RPL6P23	
RPL6P24	
RPL6P25	
RPL6P26	
RPL6P27	
RPL6P28	
RPL6P29	
RPL6P30	
RPL6P31	
RPL6P32	
RPL7	MGI:98073
RPL7A	MGI:1353472
RPL7AL1	
RPL7AP1	
RPL7AP2	
RPL7AP3	
RPL7AP4	
RPL7AP5	
RPL7AP6	
RPL7AP7	
RPL7AP8	
RPL7AP9	
RPL7AP10	
RPL7AP11	
RPL7AP12	
RPL7AP13	
RPL7AP14	
RPL7AP15	
RPL7AP16	
RPL7AP17	
RPL7AP18	
RPL7AP19	
RPL7AP20	
RPL7AP21	
RPL7AP22	
RPL7AP23	
RPL7AP24	
RPL7AP25	
RPL7AP26	
RPL7AP27	
RPL7AP28	
RPL7AP29	
RPL7AP30	
RPL7AP31	
RPL7AP32	
RPL7AP33	
RPL7AP34	
RPL7AP35	
RPL7AP36	
RPL7AP37	
RPL7AP38	
RPL7AP39	
RPL7AP40	
RPL7AP41	
RPL7AP42	
RPL7AP43	
RPL7AP44	
RPL7AP45	
RPL7AP46	
RPL7AP47	
RPL7AP48	
RPL7AP49	
RPL7AP50	
RPL7AP51	
RPL7AP52	
RPL7AP53	
RPL7AP54	
RPL7AP55	
RPL7AP56	
RPL7AP57	
RPL7AP58	
RPL7AP59	
RPL7AP60	
RPL7AP61	
RPL7AP62	
RPL7AP63	
RPL7AP64	
RPL7AP65	
RPL7AP66	
RPL7AP67	
RPL7AP68	
RPL7AP69	
RPL7AP70	
RPL7AP71	
RPL7AP72	
RPL7AP73	
RPL7AP74	
RPL7AP75	
RPL7AP76	
RPL7AP77	
RPL7AP78	
RPL7AP79	
RPL7AP80	
RPL7AP81	
RPL7AP82	
RPL7AP83	
RPL7L1	MGI:1913479
RPL7L1P1	
RPL7L1P2	
RPL7L1P3	
RPL7L1P4	
RPL7L1P5	
RPL7L1P6	
RPL7L1P7	
RPL7L1P8	
RPL7L1P9	
RPL7L1P10	
RPL7L1P11	
RPL7L1P12	
RPL7L1P13	
RPL7L1P14	
RPL7L1P15	
RPL7L1P16	
RPL7L1P17	
RPL7L1P18	
RPL7L1P19	
RPL7L1P20	
RPL7L1P21	
RPL7L1P22	
RPL7P1	
RPL7P2	
RPL7P3	
RPL7P4	
RPL7P5	
RPL7P6	
RPL7P7	
RPL7P8	
RPL7P9	
RPL7P10	
RPL7P11	
RPL7P12	
RPL7P13	
RPL7P14	
RPL7P15	
RPL7P16	
RPL7P17	
RPL7P18	
RPL7P19	
RPL7P20	
RPL7P21	
RPL7P22	
RPL7P23	
RPL7P24	
RPL7P25	
RPL7P26	
RPL7P27	
RPL7P28	
RPL7P29	
RPL7P30	
RPL7P31	
RPL7P32	
RPL7P33	
RPL7P34	
RPL7P35	
RPL7P36	
RPL7P37	
RPL7P38	
RPL7P39	
RPL7P40	
RPL7P41	
RPL7P42	
RPL7P43	
RPL7P44	
RPL7P45	
RPL7P46	
RPL7P47	
RPL7P48	
RPL7P49	
RPL7P50	
RPL7P51	
RPL7P52	
RPL7P53	
RPL7P54	
RPL7P55	
RPL7P56	
RPL7P57	
RPL7P58	
RPL7P59	
RPL7P60	
RPL7P61	
RPL8	MGI:1350927
RPL8P1	
RPL8P2	
RPL8P3	
RPL8P4	
RPL8P5	
RPL9	MGI:1298373
RPL9P1	
RPL9P2	
RPL9P3	
RPL9P4	
RPL9P5	
RPL9P6	
RPL9P7	
RPL9P8	
RPL9P9	
RPL9P10	
RPL9P11	
RPL9P12	
RPL9P13	
RPL9P14	
RPL9P15	
RPL9P16	
RPL9P17	
RPL9P18	
RPL9P19	
RPL9P20	
RPL9P21	
RPL9P22	
RPL9P23	
RPL9P24	
RPL9P25	
RPL9P26	
RPL9P27	
RPL9P28	
RPL9P29	
RPL9P30	
RPL9P31	
RPL9P32	
RPL9P33	
RPL10	MGI:105943
RPL10A	MGI:1343877
RPL10AP1	
RPL10AP2	
RPL10AP3	
RPL10AP4	
RPL10AP5	
RPL10AP6	
RPL10AP7	
RPL10AP8	
RPL10AP9	
RPL10AP10	
RPL10AP11	
RPL10AP12	
RPL10AP13	
RPL10L	MGI:3647985
RPL10P1	
RPL10P2	
RPL10P3	
RPL10P4	
RPL10P5	
RPL10P6	
RPL10P7	
RPL10P8	
RPL10P9	
RPL10P10	
RPL10P11	
RPL10P12	
RPL10P13	
RPL10P14	
RPL10P15	
RPL10P16	
RPL10P17	
RPL10P18	
RPL10P19	
RPL11	MGI:1914275
RPL11P1	
RPL11P2	
RPL11P3	
RPL11P4	
RPL11P5	
RPL12	MGI:98002
RPL12P1	
RPL12P2	
RPL12P3	
RPL12P4	
RPL12P5	
RPL12P6	
RPL12P7	
RPL12P8	
RPL12P9	
RPL12P10	
RPL12P11	
RPL12P12	
RPL12P13	
RPL12P14	
RPL12P15	
RPL12P16	
RPL12P17	
RPL12P18	
RPL12P19	
RPL12P20	
RPL12P21	
RPL12P22	
RPL12P23	
RPL12P24	
RPL12P25	
RPL12P26	
RPL12P27	
RPL12P28	
RPL12P29	
RPL12P30	
RPL12P31	
RPL12P32	
RPL12P33	
RPL12P34	
RPL12P35	
RPL12P36	
RPL12P37	
RPL12P38	
RPL12P39	
RPL12P40	
RPL12P41	
RPL12P42	
RPL12P43	
RPL12P44	
RPL12P45	
RPL12P46	
RPL12P47	
RPL12P48	
RPL12P49	
RPL12P50	
RPL13	MGI:105922
RPL13A	MGI:1351455
RPL13AP	
RPL13AP2	
RPL13AP3	
RPL13AP5	
RPL13AP6	
RPL13AP7	
RPL13AP8	
RPL13AP9	
RPL13AP10	
RPL13AP11	
RPL13AP12	
RPL13AP13	
RPL13AP14	
RPL13AP15	
RPL13AP16	
RPL13AP17	
RPL13AP18	
RPL13AP19	
RPL13AP20	
RPL13AP21	
RPL13AP22	
RPL13AP23	
RPL13AP24	
RPL13AP25	
RPL13AP26	
RPL13AP27	
RPL13P	
RPL13P2	
RPL13P3	
RPL13P4	
RPL13P5	
RPL13P6	
RPL13P7	
RPL13P8	
RPL13P9	
RPL13P10	
RPL13P11	
RPL13P12	
RPL13P13	
RPL13P14	
RPL14	MGI:1914365
RPL14P1	
RPL14P2	
RPL14P3	
RPL14P4	
RPL14P5	
RPL14P6	
RPL15	MGI:1913730
RPL15P1	
RPL15P2	
RPL15P3	
RPL15P4	
RPL15P5	
RPL15P6	
RPL15P7	
RPL15P8	
RPL15P9	
RPL15P11	
RPL15P12	
RPL15P13	
RPL15P14	
RPL15P15	
RPL15P16	
RPL15P17	
RPL15P18	
RPL15P19	
RPL15P20	
RPL15P21	
RPL15P22	
RPL17	MGI:2448270
RPL17-C18orf32	
RPL17L1	
RPL17P	
RPL17P1	
RPL17P2	
RPL17P3	
RPL17P4	
RPL17P5	
RPL17P6	
RPL17P7	
RPL17P8	
RPL17P9	
RPL17P10	
RPL17P11	
RPL17P12	
RPL17P13	
RPL17P14	
RPL17P15	
RPL17P16	
RPL17P17	
RPL17P18	
RPL17P19	
RPL17P20	
RPL17P21	
RPL17P22	
RPL17P23	
RPL17P24	
RPL17P25	
RPL17P26	
RPL17P27	
RPL17P28	
RPL17P29	
RPL17P30	
RPL17P31	
RPL17P32	
RPL17P33	
RPL17P34	
RPL17P35	
RPL17P36	
RPL17P37	
RPL17P38	
RPL17P39	
RPL17P40	
RPL17P41	
RPL17P42	
RPL17P43	
RPL17P44	
RPL17P45	
RPL17P46	
RPL17P47	
RPL17P48	
RPL17P49	
RPL17P50	
RPL17P51	
RPL17P52	
RPL18	MGI:98003
RPL18A	MGI:1924058
RPL18AP1	
RPL18AP2	
RPL18AP3	
RPL18AP4	
RPL18AP5	
RPL18AP6	
RPL18AP7	
RPL18AP8	
RPL18AP9	
RPL18AP10	
RPL18AP11	
RPL18AP12	
RPL18AP13	
RPL18AP14	
RPL18AP15	
RPL18AP16	
RPL18AP17	
RPL18P1	
RPL18P2	
RPL18P3	
RPL18P4	
RPL18P5	
RPL18P6	
RPL18P7	
RPL18P8	
RPL18P9	
RPL18P10	
RPL18P11	
RPL18P12	
RPL18P13	
RPL19	MGI:98020
RPL19P1	
RPL19P2	
RPL19P3	
RPL19P4	
RPL19P5	
RPL19P6	
RPL19P7	
RPL19P8	
RPL19P9	
RPL19P10	
RPL19P11	
RPL19P12	
RPL19P13	
RPL19P14	
RPL19P15	
RPL19P16	
RPL19P17	
RPL19P18	
RPL19P19	
RPL19P20	
RPL19P21	
RPL21	MGI:1278340
RPL21P1	
RPL21P2	
RPL21P3	
RPL21P4	
RPL21P5	
RPL21P6	
RPL21P7	
RPL21P8	
RPL21P9	
RPL21P10	
RPL21P11	
RPL21P12	
RPL21P13	
RPL21P14	
RPL21P15	
RPL21P16	
RPL21P17	
RPL21P18	
RPL21P19	
RPL21P20	
RPL21P21	
RPL21P22	
RPL21P23	
RPL21P24	
RPL21P25	
RPL21P26	
RPL21P27	
RPL21P28	
RPL21P29	
RPL21P30	
RPL21P31	
RPL21P32	
RPL21P33	
RPL21P34	
RPL21P35	
RPL21P36	
RPL21P37	
RPL21P38	
RPL21P39	
RPL21P40	
RPL21P41	
RPL21P42	
RPL21P43	
RPL21P44	
RPL21P45	
RPL21P46	
RPL21P47	
RPL21P48	
RPL21P49	
RPL21P50	
RPL21P51	
RPL21P52	
RPL21P53	
RPL21P54	
RPL21P55	
RPL21P56	
RPL21P57	
RPL21P58	
RPL21P59	
RPL21P60	
RPL21P61	
RPL21P62	
RPL21P63	
RPL21P64	
RPL21P65	
RPL21P66	
RPL21P67	
RPL21P68	
RPL21P69	
RPL21P70	
RPL21P71	
RPL21P72	
RPL21P73	
RPL21P74	
RPL21P75	
RPL21P76	
RPL21P77	
RPL21P78	
RPL21P79	
RPL21P80	
RPL21P81	
RPL21P82	
RPL21P83	
RPL21P84	
RPL21P85	
RPL21P86	
RPL21P87	
RPL21P88	
RPL21P89	
RPL21P90	
RPL21P91	
RPL21P92	
RPL21P93	
RPL21P94	
RPL21P95	
RPL21P96	
RPL21P97	
RPL21P98	
RPL21P99	
RPL21P100	
RPL21P101	
RPL21P102	
RPL21P103	
RPL21P104	
RPL21P105	
RPL21P106	
RPL21P107	
RPL21P108	
RPL21P109	
RPL21P110	
RPL21P111	
RPL21P112	
RPL21P113	
RPL21P114	
RPL21P115	
RPL21P116	
RPL21P117	
RPL21P118	
RPL21P119	
RPL21P120	
RPL21P121	
RPL21P122	
RPL21P123	
RPL21P124	
RPL21P125	
RPL21P126	
RPL21P127	
RPL21P128	
RPL21P129	
RPL21P130	
RPL21P131	
RPL21P132	
RPL21P133	
RPL21P134	
RPL21P135	
RPL21P136	
RPL21P137	
RPL22	MGI:99262
RPL22L1	MGI:1915278
RPL22P1	
RPL22P2	
RPL22P3	
RPL22P4	
RPL22P5	
RPL22P6	
RPL22P7	
RPL22P8	
RPL22P10	
RPL22P11	
RPL22P12	
RPL22P13	
RPL22P14	
RPL22P15	
RPL22P16	
RPL22P17	
RPL22P18	
RPL22P19	
RPL22P20	
RPL22P21	
RPL22P22	
RPL22P23	
RPL22P24	
RPL23	MGI:1929455
RPL23A	MGI:3040672
RPL23AP1	
RPL23AP2	
RPL23AP3	
RPL23AP4	
RPL23AP5	
RPL23AP6	
RPL23AP7	
RPL23AP8	
RPL23AP9	
RPL23AP10	
RPL23AP11	
RPL23AP12	
RPL23AP14	
RPL23AP15	
RPL23AP16	
RPL23AP17	
RPL23AP18	
RPL23AP19	
RPL23AP20	
RPL23AP21	
RPL23AP22	
RPL23AP23	
RPL23AP24	
RPL23AP25	
RPL23AP26	
RPL23AP27	
RPL23AP28	
RPL23AP29	
RPL23AP30	
RPL23AP31	
RPL23AP32	
RPL23AP33	
RPL23AP34	
RPL23AP35	
RPL23AP36	
RPL23AP37	
RPL23AP38	
RPL23AP39	
RPL23AP40	
RPL23AP41	
RPL23AP42	
RPL23AP43	
RPL23AP44	
RPL23AP45	
RPL23AP46	
RPL23AP47	
RPL23AP48	
RPL23AP49	
RPL23AP50	
RPL23AP51	
RPL23AP52	
RPL23AP53	
RPL23AP54	
RPL23AP55	
RPL23AP56	
RPL23AP57	
RPL23AP58	
RPL23AP59	
RPL23AP60	
RPL23AP61	
RPL23AP62	
RPL23AP63	
RPL23AP64	
RPL23AP65	
RPL23AP66	
RPL23AP67	
RPL23AP68	
RPL23AP69	
RPL23AP70	
RPL23AP71	
RPL23AP72	
RPL23AP73	
RPL23AP74	
RPL23AP75	
RPL23AP76	
RPL23AP77	
RPL23AP78	
RPL23AP79	
RPL23AP80	
RPL23AP81	
RPL23AP82	
RPL23AP83	
RPL23AP84	
RPL23AP85	
RPL23AP86	
RPL23AP87	
RPL23AP88	
RPL23AP89	
RPL23AP90	
RPL23AP91	
RPL23AP92	
RPL23AP93	
RPL23AP94	
RPL23AP95	
RPL23AP96	
RPL23AP97	
RPL23L	
RPL23P1	
RPL23P2	
RPL23P3	
RPL23P4	
RPL23P5	
RPL23P6	
RPL23P7	
RPL23P8	
RPL23P9	
RPL23P10	
RPL23P11	
RPL24	MGI:1915443
RPL24P1	
RPL24P2	
RPL24P3	
RPL24P4	
RPL24P5	
RPL24P6	
RPL24P7	
RPL24P8	
RPL24P9	
RPL25P1	
RPL26	MGI:106022
RPL26L1	
RPL26L1-AS1	
RPL26P2	
RPL26P3	
RPL26P4	
RPL26P5	
RPL26P6	
RPL26P7	
RPL26P8	
RPL26P9	
RPL26P10	
RPL26P11	
RPL26P12	
RPL26P13	
RPL26P14	
RPL26P15	
RPL26P16	
RPL26P17	
RPL26P18	
RPL26P19	
RPL26P20	
RPL26P21	
RPL26P22	
RPL26P23	
RPL26P24	
RPL26P25	
RPL26P26	
RPL26P27	
RPL26P28	
RPL26P29	
RPL26P30	
RPL26P31	
RPL26P32	
RPL26P33	
RPL26P34	
RPL26P35	
RPL26P36	
RPL26P37	
RPL27	MGI:98036
RPL27A	MGI:1347076
RPL27AP	
RPL27AP2	
RPL27AP3	
RPL27AP4	
RPL27AP5	
RPL27AP6	
RPL27AP7	
RPL27AP8	
RPL27AP9	
RPL27P1	
RPL27P2	
RPL27P4	
RPL27P5	
RPL27P6	
RPL27P7	
RPL27P8	
RPL27P9	
RPL27P10	
RPL27P11	
RPL27P12	
RPL28	MGI:101839
RPL28P1	
RPL28P2	
RPL28P3	
RPL28P4	
RPL28P5	
RPL28P6	
RPL29	MGI:99687
RPL29P1	
RPL29P2	
RPL29P3	
RPL29P4	
RPL29P5	
RPL29P6	
RPL29P7	
RPL29P8	
RPL29P9	
RPL29P10	
RPL29P11	
RPL29P12	
RPL29P13	
RPL29P14	
RPL29P15	
RPL29P16	
RPL29P17	
RPL29P18	
RPL29P19	
RPL29P20	
RPL29P21	
RPL29P22	
RPL29P23	
RPL29P24	
RPL29P25	
RPL29P26	
RPL29P27	
RPL29P28	
RPL29P29	
RPL29P30	
RPL29P31	
RPL29P32	
RPL29P33	
RPL29P34	
RPL29P35	
RPL30	MGI:98037
RPL30-AS1	
RPL30P1	
RPL30P2	
RPL30P3	
RPL30P4	
RPL30P5	
RPL30P6	
RPL30P7	
RPL30P8	
RPL30P9	
RPL30P10	
RPL30P11	
RPL30P12	
RPL30P13	
RPL30P14	
RPL30P15	
RPL30P16	
RPL31	MGI:2149632
RPL31P1	
RPL31P2	
RPL31P3	
RPL31P4	
RPL31P5	
RPL31P6	
RPL31P7	
RPL31P8	
RPL31P9	
RPL31P10	
RPL31P11	
RPL31P12	
RPL31P13	
RPL31P14	
RPL31P15	
RPL31P16	
RPL31P17	
RPL31P18	
RPL31P19	
RPL31P20	
RPL31P21	
RPL31P22	
RPL31P23	
RPL31P24	
RPL31P25	
RPL31P26	
RPL31P27	
RPL31P28	
RPL31P29	
RPL31P30	
RPL31P31	
RPL31P32	
RPL31P33	
RPL31P34	
RPL31P35	
RPL31P36	
RPL31P37	
RPL31P38	
RPL31P39	
RPL31P40	
RPL31P41	
RPL31P42	
RPL31P43	
RPL31P44	
RPL31P45	
RPL31P46	
RPL31P47	
RPL31P48	
RPL31P49	
RPL31P50	
