Phenotype description	Gene name
gastrulation with mouth forming second quality	cdh2
glial cell projection part_of trunk disorganized	cdh2
glial cell projection part_of trunk kinked	cdh2
glial cell projection part_of trunk truncated	cdh2
head decreased size	cdh2
head surface feature shape	cdh2
hindbrain interneuron disorganized	cdh2
hindbrain interneuron irregular spatial pattern	cdh2
hindbrain interneuron mislocalised	cdh2
hindbrain neural keel shape	cdh2
hindbrain neural keel umbonate	cdh2
hindbrain neural tube increased distribution	cdh2
hindbrain decreased thickness	cdh2
hindbrain disorganized	cdh2
hindbrain mislocalised	cdh2
hindbrain morphology	cdh2
hindbrain quality	cdh2
hindbrain spatial pattern	cdh2
hindbrain surface feature shape	cdh2
intersegmental vessel malformed	cdh2
kinocilium part_of hair cell anterior macula decreased length	cdh2
kinocilium part_of hair cell posterior macula decreased length	cdh2
lens decreased size	cdh2
lens disorganized	cdh2
lens disoriented	cdh2
lens mislocalised	cdh2
lens perforate	cdh2
lens structure	cdh2
maintenance of epithelial cell apical/basal polarity disrupted	cdh2
melanocyte differentiation delayed	cdh2
mesodermal cell mislocalised	cdh2
mesodermal cell part_of axial mesoderm mislocalised	cdh2
mesodermal cell part_of paraxial mesoderm spherical	cdh2
midbrain hindbrain boundary absent	cdh2
midbrain hindbrain boundary quality	cdh2
midbrain disorganized	cdh2
midbrain quality	cdh2
midbrain spatial pattern	cdh2
midsagittal plane part_of neural tube absent	cdh2
mitotic cell cycle occurs_in hindbrain decreased duration	cdh2
motor neuron axon guidance occurs_in spinal cord disrupted	cdh2
motor neuron part_of hindbrain mislocalised anteriorly	cdh2
motor neuron part_of hindbrain mislocalised dorsally	cdh2
muscle cell migration arrested	cdh2
myofibril part_of slow muscle cell bent	cdh2
myofibril part_of slow muscle cell elongated	cdh2
nervous system quality	cdh2
neural keel formation process quality	cdh2
neural plate increased width	cdh2
neural rod increased width	cdh2
neural rod mislocalised	cdh2
neural rod shape	cdh2
neural rod spatial pattern	cdh2
neural tube development disrupted	cdh2
neural tube formation decreased process quality	cdh2
neural tube increased width	cdh2
neural tube morphology	cdh2
neural tube spatial pattern	cdh2
neuroectoderm malformed	cdh2
neuroepithelial cell apical-basal polarity	cdh2
neuroepithelial cell displaced to	cdh2
neuroepithelial cell morphology	cdh2
neuroepithelial cell part_of hindbrain neural tube morphology	cdh2
neuroepithelial cell part_of neural rod disorganized	cdh2
neuron cell-cell adhesion disrupted	cdh2
neuron migration occurs_in branchiomotor neuron decreased velocity	cdh2
neuron part_of hindbrain disorganized	cdh2
neuron part_of optic cup decreased amount	cdh2
odontogenesis delayed	cdh2
odontogenesis occurs_in tooth 4V delayed	cdh2
optic chiasma development disrupted	cdh2
optic tectum decreased size	cdh2
paraxial mesoderm disorganized	cdh2
paraxial mesoderm increased width	cdh2
paraxial mesoderm part_of tail bud disorganized	cdh2
pectoral fin development disrupted	cdh2
peripheral neuron quality	cdh2
photoreceptor outer segment part_of whole organism decreased length	cdh2
pillar of the semicircular canal structure	cdh2
plasma membrane region part_of neural tube mislocalised	cdh2
post-anal tail morphogenesis disrupted	cdh2
post-vent region clavate	cdh2
post-vent region curved dorsal	cdh2
post-vent region decreased length	cdh2
post-vent region morphology	cdh2
post-vent region quality	cdh2
post-vent region truncated	cdh2
post-vent region vacuolated	cdh2
posterior lateral line neuromast decreased amount	cdh2
posterior lateral line neuromast far from	cdh2
posterior neural keel increased width	cdh2
posterior neural tube T-shaped	cdh2
posterior side part_of dorsal fin fold decreased size	cdh2
posterior side part_of dorsal fin fold split medially	cdh2
postoptic commissure defasciculated	cdh2
proliferative region part_of eye increased size	cdh2
proliferative region part_of eye mislocalised	cdh2
radial glial cell part_of hindbrain mislocalised	cdh2
radial glial cell part_of hindbrain morphology	cdh2
retina layer formation disrupted	cdh2
retina morphogenesis in camera-type eye disrupted	cdh2
retina disorganized	cdh2
retina quality	cdh2
retinal ganglion cell layer mislocalised	cdh2
retinal inner plexiform layer patchy	cdh2
retinal inner plexiform layer structure	cdh2
retinal neural layer disorganized	cdh2
retinal outer plexiform layer patchy	cdh2
retinal outer plexiform layer structure	cdh2
retinal pigmented epithelium poorly differentiated	cdh2
retinal pigmented epithelium position	cdh2
secondary neural tube formation decreased process quality	cdh2
segmental plate broadly articulated with	cdh2
segmental plate increased angle to	cdh2
semicircular canal morphogenesis disrupted	cdh2
semicircular canal aplastic	cdh2
semicircular canal morphology	cdh2
sensory system quality	cdh2
smoothened signaling pathway increased process quality	cdh2
somite border amorphous	cdh2
somite condensed	cdh2
somite disorganized	cdh2
somite fused with	cdh2
somite increased width	cdh2
somite morphology	cdh2
somite part_of post-vent region morphology	cdh2
somite part_of trunk morphology	cdh2
somite quality	cdh2
specification of symmetry occurs_in neural tube decreased occurrence	cdh2
spinal cord interneuron disorganized	cdh2
statoacoustic VIII ganglion decreased size	cdh2
stereocilium bundle part_of hair cell posterior macula decreased length	cdh2
surface structure quality	cdh2
tail bud apoptotic	cdh2
tail bud increased width	cdh2
tail bud morphology	cdh2
tail bud vacuolated	cdh2
tooth 3V absent	cdh2
trunk musculature quality	cdh2
trunk bent	cdh2
trunk decreased thickness	cdh2
trunk increased width	cdh2
ventricular system composition	cdh2
whole organism bent	cdh2
whole organism curved ventral	cdh2
whole organism lethal (sensu genetics)	cdh2
whole organism morphology	cdh2
whole organism organismal quality	cdh2
whole organism shape	cdh2
whole organism viability	cdh2
Meckel's cartilage decreased size	col11a1a
cranial cartilage disorganized	col11a1a
otolith absent	col11a1a
otolith decreased amount	col11a1a
otolith increased amount	col11a1a
pericardium edematous	col11a1a
post-vent region curved	col11a1a
ventral mandibular arch shortened	col11a1a
whole organism absent	col11a1a
whole organism decreased length	col11a1a
whole organism deformed	col11a1a
	atp1a1b
	gtf2e2
anatomical axis part_of whole organism decreased length	lrsam1
brain development disrupted	lrsam1
embryo development delayed	lrsam1
eye decreased size	lrsam1
hematopoietic stem cell differentiation disrupted	lrsam1
hematopoietic stem cell part_of ventral wall of dorsal aorta decreased amount	lrsam1
locomotory behavior arrested	lrsam1
motor neuron disorganized	lrsam1
post-vent region curved	lrsam1
somite disorganized	lrsam1
ventral wall of dorsal aorta decreased amount	lrsam1
whole organism decreased pigmentation	lrsam1
response to auditory stimulus process quality	KCNMA1
swimming behavior process quality	KCNMA1
	adh8a
anterior-posterior axis part_of whole organism curved	snrnp200
brain malformed	snrnp200
heart edematous	snrnp200
mRNA splicing via spliceosome process quality	snrnp200
retinal rod cell physical object quality	snrnp200
trunk shortened	snrnp200
whole organism decreased life span	snrnp200
whole organism deformed	snrnp200
whole organism morphology	snrnp200
acetylcholine-gated channel complex part_of muscle decreased amount	lrp4
anatomical margin part_of median fin fold irregularly shaped	lrp4
anatomical margin part_of pectoral fin irregularly shaped	lrp4
embryonic viscerocranium morphogenesis process quality	lrp4
establishment of synaptic specificity at neuromuscular junction decreased occurrence	lrp4
median fin fold blistered	lrp4
median fin fold degenerate	lrp4
median fin fold increased amount	lrp4
nephron morphology	lrp4
neuromuscular junction development decreased occurrence	lrp4
neuromuscular junction part_of skeletal muscle cell spatial pattern	lrp4
neuromuscular synaptic transmission decreased occurrence	lrp4
pectoral fin blistered	lrp4
pectoral fin decreased amount	lrp4
pectoral fin increased amount	lrp4
proctodeum decreased amount	lrp4
pronephric duct decreased amount	lrp4
proximal region part_of fin fold pectoral fin bud absent	lrp4
renal system development process quality	lrp4
renal system morphology	lrp4
retina decreased amount	lrp4
skeletal element part_of head morphology	lrp4
whole organism decreased amount	lrp4
whole organism increased amount	lrp4
	tac3a
	CU929146.3
angiogenesis disrupted	IQSEC1
intersegmental vessel malformed	IQSEC1
parachordal vessel aplastic	IQSEC1
vascular lymphangioblast decreased amount	IQSEC1
vasculature development disrupted	IQSEC1
	slc25a4
	nanos1
	trpm1a
detection of light stimulus involved in visual perception decreased process quality	grm6b
retina decreased functionality	grm6b
	tfg
	inavab
anatomical axis part_of whole organism decreased length	lrsam1
brain development disrupted	lrsam1
embryo development delayed	lrsam1
eye decreased size	lrsam1
hematopoietic stem cell differentiation disrupted	lrsam1
hematopoietic stem cell part_of ventral wall of dorsal aorta decreased amount	lrsam1
locomotory behavior arrested	lrsam1
motor neuron disorganized	lrsam1
post-vent region curved	lrsam1
somite disorganized	lrsam1
ventral wall of dorsal aorta decreased amount	lrsam1
whole organism decreased pigmentation	lrsam1
UV sensitive photoreceptor cell decreased amount	tbx2b
UV sensitive photoreceptor cell deformed	tbx2b
UV sensitive photoreceptor cell has extra parts of type GO:0044316	tbx2b
UV sensitive photoreceptor cell morphology	tbx2b
UV sensitive photoreceptor cell part_of retina increased amount	tbx2b
atrioventricular canal development disrupted	tbx2b
atrioventricular canal decreased size	tbx2b
axon part_of UV sensitive photoreceptor cell bifurcated	tbx2b
blue sensitive photoreceptor cell part_of retina decreased amount	tbx2b
cell migration in diencephalon disrupted	tbx2b
cell part_of corpuscles of Stannius increased amount	tbx2b
cell part_of parapineal organ decreased amount	tbx2b
cell part_of parapineal organ mislocalised	tbx2b
cone telodendria part_of UV sensitive photoreceptor cell branched	tbx2b
cone telodendria part_of UV sensitive photoreceptor cell decreased amount	tbx2b
cone telodendria part_of UV sensitive photoreceptor cell morphology	tbx2b
corpuscles of Stannius increased distribution	tbx2b
epithalamus development disrupted	tbx2b
eye morphology	tbx2b
foraging behavior decreased efficacy	tbx2b
heart contraction rhythm quality	tbx2b
heart looping disrupted	tbx2b
heart structure	tbx2b
lateral region part_of dorsal habenular nucleus has extra parts of type	tbx2b
neuron fate specification occurs_in parapineal organ decreased occurrence	tbx2b
otic vesicle decreased size	tbx2b
otolith fused with	tbx2b
parapineal organ aplastic	tbx2b
parapineal organ has fewer parts of type	tbx2b
parapineal organ has fewer parts of type ZFA:0009248	tbx2b
pineal complex decreased amount	tbx2b
pineal complex morphology	tbx2b
pronephric distal late tubule decreased distribution	tbx2b
pronephric distal late tubule decreased length	tbx2b
pronephric duct decreased distribution	tbx2b
pronephric proximal convoluted tubule increased distribution	tbx2b
pronephric proximal convoluted tubule increased length	tbx2b
retina has extra parts of type	tbx2b
retina has fewer parts of type	tbx2b
retinal cone cell decreased amount	tbx2b
retinal photoreceptor layer disorganized	tbx2b
retinal rod cell increased amount	tbx2b
right side part_of dorsal habenular nucleus has extra parts of type	tbx2b
superior ocular sulcus closure incomplete	tbx2b
superior ocular sulcus morphology	tbx2b
synapse part_of horizontal cell amount	tbx2b
whole organism viability	tbx2b
	hk1
basement membrane assembly involved in embryonic body morphogenesis process quality	pxdn
collagen type IV trimer part_of whole organism physical object quality	pxdn
eye decreased size	pxdn
heart edematous	pxdn
trunk curved dorsal	pxdn
axon part_of motor neuron branchiness	spg11
axon part_of motor neuron decreased length	spg11
axon part_of motor neuron disorganized	spg11
axon part_of motor neuron truncated	spg11
brain hydrocephalic	spg11
commissural neuron axon guidance disrupted	spg11
cranial nerve development disrupted	spg11
eye decreased size	spg11
glial cell part_of hindbrain decreased amount	spg11
head decreased size	spg11
hindbrain development disrupted	spg11
midbrain hindbrain boundary decreased size	spg11
motor neuron axon guidance process quality	spg11
post-vent region deformed	spg11
post-vent region increased curvature	spg11
retinal ganglion cell decreased amount	spg11
skeletal muscle acetylcholine-gated channel clustering disrupted	spg11
somite morphology	spg11
spinal cord development disrupted	spg11
swimming behavior disrupted	spg11
telencephalon increased amount	spg11
thigmotaxis disrupted	spg11
thigmotaxis process quality	spg11
ventricular system development disrupted	spg11
whole organism decreased mobility	spg11
whole organism paralysed	spg11
atrium morphology	scn5lab
atrium orientation	scn5lab
blood circulation disrupted	scn5lab
cardiac muscle cell differentiation disrupted	scn5lab
cardiac muscle cell proliferation decreased process quality	scn5lab
cardiac ventricle morphology	scn5lab
extension decreased length	scn5lab
eye apoptotic	scn5lab
forebrain apoptotic	scn5lab
head decreased size	scn5lab
heart contraction decreased rate	scn5lab
heart looping arrested	scn5lab
heart looping decreased process quality	scn5lab
heart primordium decreased size	scn5lab
heart primordium has fewer parts of type	scn5lab
heart decreased size	scn5lab
heart has fewer parts of type	scn5lab
heart hypoplastic	scn5lab
heart malformed	scn5lab
	ndufb3
	sbf1
caudal fin absent	tll1
caudal fin aplastic	tll1
caudal fin hypoplastic	tll1
dorsal-ventral axis part_of whole organism absent	tll1
fin decreased size	tll1
gastrulation with mouth forming second disrupted	tll1
gastrulation with mouth forming second quality	tll1
median fin fold hypoplastic	tll1
mesodermal cell migration disrupted	tll1
notochord formation disrupted	tll1
notochord morphogenesis disrupted	tll1
notochord bent	tll1
post-anal tail morphogenesis disrupted	tll1
post-anal tail morphogenesis having extra processual parts	tll1
post-vent region bifurcated	tll1
post-vent region decreased length	tll1
post-vent region deformed	tll1
post-vent region has extra parts of type	tll1
post-vent region morphology	tll1
post-vent region quality	tll1
surface structure quality	tll1
tail bud decreased length	tll1
tail bud increased size	tll1
ventral fin fold absent	tll1
ventral fin fold hypoplastic	tll1
ventral region part_of caudal fin hypoplastic	tll1
whole organism has extra parts of type	tll1
whole organism lethal (sensu genetics)	tll1
whole organism oblong	tll1
whole organism quality	tll1
whole organism shape	tll1
whole organism viability	tll1
whole organism wholly dorsalized	tll1
	nthl1
	ndufb9
atrioventricular canal development disrupted	tbx2a
atrioventricular canal increased width	tbx2a
axis part_of whole organism curved	tbx2a
ball increased size	tbx2a
cell part_of corpuscles of Stannius increased amount	tbx2a
corpuscles of Stannius absent	tbx2a
corpuscles of Stannius increased distribution	tbx2a
eye decreased size	tbx2a
heart looping arrested	tbx2a
heart looping delayed	tbx2a
heart looping disrupted	tbx2a
heart edematous	tbx2a
inner ear decreased size	tbx2a
mesenchyme condensation cell part_of pharyngeal arch fused with ZFA:0009166	tbx2a
pharyngeal arch 2 malformed	tbx2a
pharyngeal arch cartilage morphology	tbx2a
pharyngeal arch arrested	tbx2a
pharyngeal arch disorganized	tbx2a
pharyngeal arch malformed	tbx2a
pharyngeal pouch arrested	tbx2a
pharyngeal system development decreased process quality	tbx2a
posterior region part_of pronephros decreased distribution	tbx2a
proctodeum malformed	tbx2a
pronephric distal late tubule decreased distribution	tbx2a
pronephric distal late tubule decreased length	tbx2a
pronephric duct decreased distribution	tbx2a
pronephric proximal convoluted tubule increased distribution	tbx2a
pronephric proximal convoluted tubule increased length	tbx2a
swim bladder inflation decreased process quality	tbx2a
	AP3B2
	pex5
	ptpa
	tnnc2
angiogenesis occurs_in central artery decreased occurrence	tars1
angiogenesis occurs_in cranial vasculature increased occurrence	tars1
angiogenesis occurs_in intersegmental vessel process quality	tars1
angiogenesis occurs_in trunk vasculature increased occurrence	tars1
angiogenic sprout part_of cranial vasculature increased amount	tars1
angiogenic sprout part_of trunk vasculature increased amount	tars1
brain vasculature increased branchiness	tars1
branching involved in blood vessel morphogenesis increased occurrence	tars1
central artery decreased branchiness	tars1
central artery decreased length	tars1
cranial vasculature increased branchiness	tars1
dorsal region part_of cranial vasculature increased branchiness	tars1
endoplasmic reticulum unfolded protein response increased occurrence	tars1
eye decreased size	tars1
head decreased size	tars1
head increased amount	tars1
intersegmental vein increased branchiness	tars1
intersegmental vessel absent	tars1
intersegmental vessel increased branchiness	tars1
intersegmental vessel malformed	tars1
intersegmental vessel truncated	tars1
trunk decreased thickness	tars1
trunk increased amount	tars1
vasculature part_of aortic arch dilated	tars1
whole organism decreased size	tars1
whole organism increased amount	tars1
endocrine pancreas decreased amount	glis3
endocrine pancreas morphology	glis3
endocrine pancreas spatial pattern	glis3
endoderm part_of pharynx decreased amount	glis3
hypophysis increased amount	glis3
hypophysis increased distribution	glis3
pancreatic B cell decreased amount	glis3
pancreatic B cell decreased area	glis3
pharyngeal endoderm decreased amount	glis3
thyroid follicle decreased amount	glis3
thyroid follicle disorganized	glis3
thyroid follicle morphology	glis3
thyroid follicle spatial pattern	glis3
thyroid primordium absent	glis3
thyroid primordium decreased volume	glis3
	sepsecs
	polr3a
	acat1
	scarb2c
	dguok
whole organism decreased amount	scube3
whole organism increased amount	scube3
aerobic respiration occurs_in whole organism decreased process quality	cln5
autophagosome part_of whole organism decreased amount	cln5
eye decreased size	cln5
head increased amount	cln5
head increased distribution	cln5
lysosome part_of whole organism decreased amount	cln5
muscle increased amount	cln5
muscle increased distribution	cln5
oxygen metabolic process occurs_in whole organism decreased process quality	cln5
swimming behavior occurs_in whole organism decreased process quality	cln5
Z disc part_of skeletal muscle increased thickness	klhl41b
myofibril part_of skeletal muscle disorganized	klhl41b
sarcomere part_of skeletal muscle disorganized	klhl41b
skeletal muscle decreased size	klhl41b
skeletal muscle refractivity	klhl41b
thigmotaxis disrupted	klhl41b
whole organism dead	klhl41b
axon part_of motor neuron decreased length	chchd10
skeletal muscle myofibril part_of skeletal muscle disorganized	chchd10
skeletal muscle refractivity	chchd10
thigmotaxis disrupted	chchd10
exocrine pancreas decreased length	fgf10b
gastrulation delayed	fgf10b
liver decreased size	fgf10b
liver right side of	fgf10b
otic vesicle decreased size	fgf10b
pancreas left side of	fgf10b
whole organism curved ventral	fgf10b
	prdm8b
apoptotic process occurs_in retinal outer nuclear layer increased occurrence	prom1b
cone photoreceptor outer segment part_of red sensitive photoreceptor cell mislocalised	prom1b
cone photoreceptor outer segment part_of red sensitive photoreceptor cell spatial pattern	prom1b
eye photoreceptor cell part_of retinal outer nuclear layer sparse	prom1b
photoreceptor cell outer segment organization occurs_in eye photoreceptor cell decreased process quality	prom1b
photoreceptor disc membrane part_of eye photoreceptor cell disorganized	prom1b
photoreceptor disc membrane part_of eye photoreceptor cell malformed	prom1b
photoreceptor outer segment part_of eye photoreceptor cell malformed	prom1b
retina absent	prom1b
retina decreased amount	prom1b
retina increased amount	prom1b
retinal photoreceptor layer has fewer parts of type	prom1b
rod photoreceptor outer segment part_of retinal rod cell increased length	prom1b
rod photoreceptor outer segment part_of retinal rod cell mislocalised	prom1b
rod photoreceptor outer segment part_of retinal rod cell spatial pattern	prom1b
whole organism decreased amount	prom1b
female organism decreased amount	fanca
female sex determination decreased occurrence	fanca
male organism increased amount	fanca
male sex determination increased occurrence	fanca
	CABZ01079748.1
	msh3
cell death increased occurrence	lpar6a
intersegmental vessel decreased functionality	lpar6a
pericardium edematous	lpar6a
whole organism curved ventral	lpar6a
yolk edematous	lpar6a
	cog8
	rpl21
	lmf1
	sptlc2b
	abcg8
	minpp1a
	mast3a
	CABZ01044281.1
	slc4a11
	il6r
cell death increased occurrence	nup93
central nervous system necrotic	nup93
cerebellum apoptotic	nup93
eye apoptotic	nup93
eye decreased size	nup93
eye protruding	nup93
eye quality	nup93
gut hypoplastic	nup93
head decreased size	nup93
hindbrain apoptotic	nup93
liver hypoplastic	nup93
midbrain apoptotic	nup93
nervous system quality	nup93
optic tectum necrotic	nup93
pericardium edematous	nup93
sensory system quality	nup93
whole organism edematous	nup93
	GALNT3
Kupffer's vesicle has fewer parts of type GO:0005929	snx10a
heart looping disrupted	snx10a
left/right pattern formation disrupted	snx10a
pericardium edematous	snx10a
whole organism decreased length	snx10a
	pfkmb
	atp6v0a2b
	ndufv2
liver color	lyst
liver fatty	lyst
liver increased size	lyst
brain decreased size	ctnnb1
brain morphology	ctnnb1
eye decreased size	ctnnb1
glomerular filtration process quality	ctnnb1
head decreased size	ctnnb1
head necrotic	ctnnb1
pericardium edematous	ctnnb1
post-vent region curved ventral	ctnnb1
post-vent region decreased length	ctnnb1
post-vent region decreased size	ctnnb1
whole organism decreased size	ctnnb1
yolk syncytial layer edematous	ctnnb1
	ddhd1b
Kupffer's vesicle increased diameter	ugdh
atrioventricular valve formation disrupted	ugdh
atrioventricular valve formation process quality	ugdh
atrioventricular valve aplastic	ugdh
atrioventricular valve morphology	ugdh
atrium shape	ugdh
blood circulation disrupted	ugdh
blood accumulation	ugdh
calcium-mediated signaling occurs_in Kupffer's vesicle process quality	ugdh
canonical Wnt signaling pathway increased process quality	ugdh
cardiac ventricle morphology	ugdh
cardiac ventricle shape	ugdh
cartilage development disrupted	ugdh
caudal fin decreased size	ugdh
central nervous system development process quality	ugdh
central nervous system morphology	ugdh
convergent extension process quality	ugdh
determination of left/right asymmetry in lateral mesoderm process quality	ugdh
fibroblast growth factor receptor signaling pathway decreased process quality	ugdh
head decreased length	ugdh
heart development process quality	ugdh
heart valve formation disrupted	ugdh
heart edematous	ugdh
heart increased size	ugdh
heart lacks all parts of type	ugdh
heart malformed	ugdh
heart quality	ugdh
hyaluronan biosynthetic process disrupted	ugdh
pectoral fin decreased length	ugdh
pectoral fin kinked	ugdh
pericardium edematous	ugdh
pharyngeal arch 3 increased diameter	ugdh
pharyngeal arch 3-7 skeleton quality	ugdh
pharyngeal arch 3-7 orientation BSPO:0000013	ugdh
pharyngeal arch cartilage condensed	ugdh
pharyngeal arch cartilage decreased size	ugdh
pharyngeal arch morphology	ugdh
semicircular canal aplastic	ugdh
swim bladder uninflated	ugdh
swimming behavior decreased process quality	ugdh
whole organism dead	ugdh
whole organism decreased length	ugdh
whole organism decreased life span	ugdh
whole organism increased width	ugdh
	GRIN2B
	lamb1b
cardiac ventricle hypertrophic	lztr1
cranial vasculature malformed	lztr1
whole organism semi-viable	lztr1
	smarcad1a
innervation occurs_in slow muscle cell disrupted	chrne
synaptic transmission cholinergic amplitude	chrne
whole organism increased amount	chrne
	mitfb
anterior-posterior axis part_of whole organism increased curvature	cfap70
pronephric duct increased area	cfap70
apoptotic process occurs_in retina increased occurrence	rho
photoreceptor inner segment part_of retinal rod cell mislocalised	rho
photoreceptor outer segment part_of retinal rod cell absent	rho
photoreceptor outer segment part_of retinal rod cell decreased amount	rho
plasma membrane part_of retinal rod cell mislocalised	rho
retinal cone cell degenerate	rho
retinal photoreceptor layer part_of retinal rod cell decreased thickness	rho
retinal rod cell absent	rho
retinal rod cell decreased amount	rho
retinal rod cell degeneration	rho
	qdprb2
	ttc29
	chrnb1
	kcnc1b
	trpm1a
gonad increased amount	foxl2a
ovary decreased amount	foxl2a
ovary increased amount	foxl2a
ovary morphology	foxl2a
ovary senescent	foxl2a
reproductive senescence occurs_in oocyte increased occurrence	foxl2a
	prkg2
female organism absent	ube2t
female sex determination decreased occurrence	ube2t
male organism increased amount	ube2t
male sex determination increased occurrence	ube2t
	cfap410
convergent extension involved in gastrulation disrupted	mapk1
gastrulation disrupted	mapk1
notochord increased width	mapk1
pericardial cavity edematous	mapk1
whole organism decreased length	mapk1
whole organism deformed	mapk1
cell morphogenesis occurs_in cerebrospinal fluid contacting neuron process quality	crb1
cell projection part_of cerebrospinal fluid contacting neuron decreased size	crb1
photoreceptor outer segment layer absent	crb1
	kcna2a
	scn1ba
eye decreased size	impdh1a
iridophore absent	impdh1a
melanocyte part_of head increased amount	impdh1a
pigmentation process quality	impdh1a
retina decreased size	impdh1a
whole organism decreased length	impdh1a
xanthophore absent	impdh1a
apoptotic process occurs_in intestine increased occurrence	epg5
autophagosome part_of skeletal muscle increased amount	epg5
autophagosome-lysosome fusion disrupted	epg5
autophagy disrupted	epg5
chordoma part_of intestine increased amount	epg5
endosome part_of whole organism increased amount	epg5
goblet cell decreased amount	epg5
goblet cell decreased area	epg5
heart morphology	epg5
intestinal epithelium degenerate	epg5
intestinal mucosa morphology	epg5
intestinal stem cell homeostasis disrupted	epg5
liver increased size	epg5
lysosome part_of whole organism increased amount	epg5
male courtship behavior process quality	epg5
male organism decreased fertility	epg5
mitochondrial outer membrane part_of skeletal muscle dilated	epg5
mitochondrion part_of intestine swollen	epg5
mucin granule part_of goblet cell dense	epg5
myocardium condensed	epg5
myocardium decreased thickness	epg5
nucleate erythrocyte aggregated	epg5
oocyte stage I increased amount	epg5
oocyte stage II decreased amount	epg5
oocyte stage III decreased amount	epg5
oocyte stage IV decreased amount	epg5
oocyte stage V decreased amount	epg5
oocyte atretic	epg5
ovarian follicle development disrupted	epg5
ovary decreased size	epg5
reproductive behavior occurs_in male organism process quality	epg5
seminiferous tubule morphology	epg5
sexual reproduction occurs_in male organism decreased process quality	epg5
somatic stem cell part_of intestine decreased amount	epg5
sperm decreased amount	epg5
sperm part_of male organism semi-viable	epg5
testis fibrotic	epg5
testis morphology	epg5
trabecular layer morphology	epg5
trunk decreased length	epg5
whole organism decreased female fertility	epg5
whole organism decreased length	epg5
whole organism decreased male fertility	epg5
	CABZ01057057.1
	cln8
	erlin2
axon part_of cerebellum degenerate	CLPB
axon part_of cerebellum morphology	CLPB
central nervous system disorganized	CLPB
cerebellum morphology	CLPB
eye decreased size	CLPB
glutamatergic neuron increased amount	CLPB
glycinergic neuron decreased amount	CLPB
head decreased size	CLPB
interneuron part_of somite decreased amount	CLPB
optic tectum decreased size	CLPB
swimming behavior increased behavioural activity	CLPB
thigmotaxis process quality	CLPB
whole organism decreased length	CLPB
blood vasculature part_of retina morphology	fzd4
blood vessel endothelium fused with	fzd4
blood vessel part_of retina increased amount	fzd4
capillary decreased distance	fzd4
endothelial cell proliferation occurs_in retina increased occurrence	fzd4
optokinetic behavior process quality	fzd4
vasculature development occurs_in retina increased occurrence	fzd4
vasculature part_of retina area density	fzd4
vasculature part_of retina decreased amount	fzd4
vasculature part_of retina disorganized	fzd4
ventral margin part_of ocular blood vessel morphology	fzd4
Wnt signaling pathway increased occurrence	gpx4b
anatomical structure increased amount	gpx4b
caudal fin decreased size	gpx4b
dorsal region part_of whole organism increased distribution	gpx4b
hatching arrested	gpx4b
whole organism decreased amount	gpx4b
whole organism increased amount	gpx4b
	chrnb1l
	ncf4
	lmbr1
	LO018287.1
Meckel's cartilage shortened	prdm5
anterior neural plate decreased length	prdm5
embryo development process quality	prdm5
ethmoid cartilage decreased size	prdm5
eye decreased size	prdm5
eye fused with	prdm5
eye position	prdm5
gut hypoplastic	prdm5
head circular	prdm5
heart morphology	prdm5
hypophyseal fenestra increased width	prdm5
liver hypoplastic	prdm5
mandibular arch skeleton morphology	prdm5
mesoderm cellular motility	prdm5
neurocranial trabecula shortened	prdm5
neurocranium decreased width	prdm5
swim bladder inflation arrested	prdm5
whole organism decreased size	prdm5
whole organism quality	prdm5
	syne1a
	ccdc115
apoptotic process occurs_in head increased occurrence	cdc6
apoptotic process occurs_in trunk increased occurrence	cdc6
cell death occurs_in central nervous system increased occurrence	cdc6
cell population proliferation decreased occurrence	cdc6
cell population proliferation disrupted	cdc6
central nervous system absent	cdc6
central nervous system decreased amount	cdc6
eating behavior disrupted	cdc6
growth decreased occurrence	cdc6
head increased amount	cdc6
head morphology	cdc6
intestine morphology	cdc6
liver morphology	cdc6
mating behavior process quality	cdc6
mitotic G1 phase decreased occurrence	cdc6
mitotic G2/M transition checkpoint decreased occurrence	cdc6
mitotic S phase increased occurrence	cdc6
mitotic sister chromatid segregation occurs_in spinal cord disrupted	cdc6
mouth morphology	cdc6
nucleus part_of retinal pigmented epithelium increased area	cdc6
nucleus part_of retinal pigmented epithelium increased size	cdc6
spinal cord morphology	cdc6
swim bladder morphology	cdc6
swimming decreased rate	cdc6
testis decreased size	cdc6
trunk increased amount	cdc6
whole organism curved	cdc6
whole organism dead	cdc6
whole organism decreased amount	cdc6
whole organism decreased length	cdc6
whole organism decreased size	cdc6
whole organism decreased weight	cdc6
whole organism increased amount	cdc6
whole organism morphology	cdc6
	mrps16
	msrb1b
	LO018106.2
	smarcal1
Meckel's cartilage decreased length	lrp5
bone mineralization occurs_in cranial vault decreased process quality	lrp5
bone mineralization occurs_in notochord decreased process quality	lrp5
bone mineralization occurs_in opercle decreased process quality	lrp5
bone mineralization occurs_in scale decreased process quality	lrp5
bone mineralization occurs_in ventral mandibular arch decreased process quality	lrp5
brain morphology	lrp5
calcium cation part_of bone tissue decreased amount	lrp5
canonical Wnt signaling pathway occurs_in cranial neural crest cell decreased process quality	lrp5
canonical Wnt signaling pathway occurs_in hindbrain decreased process quality	lrp5
caudal fin absent	lrp5
caudal fin decreased amount	lrp5
